acc,center_name,biosample,organism,bioproject,geo_loc_name_country_calc,geo_loc_name_country_continent_calc,geo_loc_name_sam,attr_bases,attr_bytes,attr_run_file_create_date,attr_collection_date_sam,attr_ena_first_public_sam,attr_ena_last_update_sam,attr_external_id_sam,attr_geographic_location__country_and_or_sea__sam,attr_host_health_state_sam,attr_host_scientific_name_sam,attr_insdc_center_name_sam,attr_insdc_first_public_sam,attr_insdc_last_update_sam,attr_insdc_status_sam,attr_isolate_sam_ss_dpl100,attr_isolation_source_sam,attr_scientific_name_sam,attr_sub_species_sam,attr_submitter_id_sam,attr_organism_sam,attr_collected_by_sam,attr_food_origin_sam,attr_host_sam,attr_ifsac__category_sam,attr_isolate_name_alias_sam,attr_lat_lon_sam_s_dpl34,attr_ontological_term_sam,attr_project_name_sam,attr_sequenced_by_sam,attr_source_type_sam,attr_strain_sam_ss_dpl139,attr_attribute_package_sam,attr_host_disease_sam,attr_serovar_sam,attr_assemblyname,attr_arrayexpress_species_sam,attr_common_name_sam,attr_subject_id_sam_s_dpl1092,attr_alias_sam,attr_ena_checklist_sam_s_dpl67,attr_environmental_sample_sam,attr_geographic_location__latitude__sam,attr_geographic_location__longitude__sam,attr_insdc_center_alias_sam,attr_is_the_sequenced_pathogen_host_associated__sam,attr_sra_accession_sam,attr_title_sam,attr_ena_last_update_sam_ss_dpl537,attr_isolation_source_host_associated_sam_s_dpl264,attr_broker_name_sam,attr_isolation_source_non_host_associated_sam,attr_host_associated_sam,attr_country_sam,attr_isolation_date_sam,attr_lab_id_sam,attr_region_sam,attr_resistance_profile_sam,attr_sample_source_sam,attr_continent_sam,attr_source_name_sam,attr_year_sam_s_dpl152,attr_mlst_sam,attr_source_sam,attr_source_site_sam,attr_strain_name_sam,attr_geographic_location_sam_s_dpl93,attr_geographic_location__region_and_locality__sam,attr_antibiotic_exposure_sam,attr_passaging_sam,attr_variant_sam,attr_experimental_factor__immunoprecipitate_exp,attr_experimental_factor__phenotype_exp,attr_genotype_sam_ss_dpl92,attr_growth_condition_sam,attr_organism_part_sam,attr_phenotype_sam,attr_bio_material_sam,attr_instrument_sam,attr_ena_status_id_exp,attr_ena_status_id_run,attr_fda_lab_id_sam,attr_subspecies_sam,attr_genus_sam,attr_projectaccession_sam,attr_publicaccession_sam,attr_species_sam,attr_pfge_primaryenzyme_pattern_sam,attr_isolate_name_sam,attr_env_local_scale_sam,attr_purpose_of_sampling_sam,attr_strain_original_sam,attr_lexmapr_version_sam,attr_outbreak_sam,attr_pfge_secondaryenzyme_pattern_sam,attr_narms_id_sam,attr_narms_isolate_number_sam,attr_package_sam,attr_collection_date_run,attr_host_age_sam,attr_host_sex_sam,attr_culture_collection_sam_ss_dpl468,attr_hhs_region_sam,attr_geo_location_sam,attr_serotype_sam,attr_organisation_name_sam,attr_spuid_namespace_sam,attr_subgroup_sam,attr_potential_contaminant_sam,attr_sequence_type_sam_ss_dpl2,attr_description_sam,attr_intended_consumer_sam,attr_subtype_sam,attr_contact_info_sam,attr_env_broad_scale_sam,attr_env_medium_sam,attr_isol_growth_condt_sam,attr_propagation_sam,attr_host_tissue_sampled_sam_s_dpl239,attr_accession_sam,attr_submitted_serotype_sam,attr_sequence_funding_program_name_sam,attr_sample_type_sam_ss_dpl131,attr_treatment_sam_ss_dpl55,attr_num_replicons_sam,attr_ref_biomaterial_sam,attr_isolation_source_host_associated_sam_s_dpl263,attr_platform_model_sam,attr_sample_number_sam_s_dpl45,attr_biomaterial_provider_sam,attr_antigenform_sam,attr_sourcetype_sam,attr_replicate_sam_ss_dpl121,attr_tax_id_sam_ss_dpl29,attr_experimental_specimen_type_sam,attr_specimen_source_id_sam,attr_passage_history_sam_s_dpl312,attr_pathotype_sam,attr_specimen_voucher_sam,attr_receipt_date_sam,CLASSIFICATION,CONFIDENCE,REASONING,CATEGORY_NUMBER,CORRECT_CLASSIFICATION
SRR22929798,PULSENET,SAMN32494461,Salmonella enterica,PRJNA230403,USA,North America,USA,386458254,221685058,2022-12-29T20:43:00.000Z,2022-12,,,,,,,,,,,missing,missing,,,,,missing,,missing,,missing,missing,,PulseNet,AR,human,PNUSAS324750,,missing,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinical,High,"The isolation source is listed as 'human', and the sample is associated with PulseNet, which primarily monitors clinical cases of foodborne pathogens in humans. There is no indication of environmental, food, or animal origin.",1,Clinical
SRR33828661,PULSENET,SAMN48893104,Salmonella enterica,PRJNA230403,USA,North America,USA,438102904,157026763,2025-06-04T12:50:00.000Z,2025,,,,,,,,,,,,missing,,,,,CDC,,missing,,PNUSAS514616,,,FL-VL00496-250530,CDC,human,PNUSAS514616,,missing,panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,missing,,,,,,,,2025,missing,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinical,High,"The isolation source is listed as 'human', and the sample was collected by the CDC, indicating it is from a clinical or public health context involving a human patient.",1,Clinical
SRR21141374,PULSENET,SAMN30413378,Salmonella enterica,PRJNA230403,USA,North America,USA,558589734,321741278,2022-08-19T16:56:00.000Z,2022-07,,,,,,,,,,,missing,missing,,,,,CDC,,missing,,missing,missing,,PulseNet,WA,human,PNUSAS293074,,missing,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinical,High,"The isolation source is listed as 'human', and the sample is associated with PulseNet and the CDC, which focus on clinical surveillance of human infections. There is no indication of environmental, animal, or food origin.",1,Clinical
SRR9989776,PULSENET,SAMN12590725,Salmonella enterica,PRJNA230403,USA,North America,USA,415433200,268808251,2019-08-16T17:28:00.000Z,2019-08,,,,,,,,,,,missing,missing,,,,,CDC,,missing,,,missing,,PulseNet,OK,human,PNUSAS090445,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinical,High,"The sample source is listed as 'human', and the project is PulseNet, which focuses on surveillance of human clinical cases of foodborne pathogens. There is no indication of environmental, food, or animal origin; thus, this is a clinical isolate.",1,Clinical
SRR30148154,PULSENET,SAMN43047084,Salmonella enterica,PRJNA230403,uncalculated,uncalculated,missing,444060451,152631389,2024-08-06T18:05:00.000Z,2024,,,,,,,,,,,missing,stool,,,,,CA,,Homo sapiens,,missing,missing,,PulseNet,CA,human,PNUSAS459712,,missing,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinical,High,"The sample was isolated from human stool, with the host listed as Homo sapiens and the source type as human. These details indicate a clinical context, likely from a patient specimen.",1,Clinical
SRR28730522,PULSENET,SAMN41003203,Salmonella enterica,PRJNA230403,USA,North America,USA,436359149,149287729,2024-04-18T08:16:00.000Z,2024,,,,,,,,,,,missing,stool,,,,,FL,,Homo sapiens,,missing,missing,,PulseNet,FL,human,PNUSAS431933,,missing,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinical,High,"The sample was isolated from human stool, with the host specified as Homo sapiens and the source type as human. These details indicate a clinical specimen from a patient, fitting the Clinical category.",1,Clinical
SRR12332705,PULSENET,SAMN15654425,Salmonella enterica,PRJNA230403,USA,North America,USA,354739949,165803975,2020-07-27T16:16:00.000Z,2020-07,,,,,,,,,,,missing,missing,,,,,CDC,,missing,,,missing,,PulseNet,FL,human,PNUSAS155696,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinical,High,"The sample source is listed as 'human', and the project is PulseNet, which focuses on tracking foodborne illnesses in humans. There is no indication of environmental, animal, or food origin. Therefore, this is a clinical sample from a human patient.",1,Clinical
SRR25764081,PULSENET,SAMN37162381,Salmonella enterica,PRJNA230403,USA,North America,USA,309720943,185926443,2023-08-28T16:24:00.000Z,2023,,,,,,,,,,,missing,missing,,,,,CDC,,missing,,missing,missing,,PulseNet,NC,human,PNUSAS376889,,missing,enteritidis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinical,High,"The sample source is listed as 'human', and the project is PulseNet, which focuses on tracking foodborne illnesses in humans. There is no indication of animal, environmental, or food origin, and the involvement of the CDC further supports a clinical context.",1,Clinical
SRR13020895,PULSENET,SAMN16729436,Salmonella enterica,PRJNA230403,USA,North America,USA,388937326,208713586,2020-11-10T17:32:00.000Z,2020-10,,,,,,,,,,,missing,missing,,,,,CDC,,missing,,missing,missing,,PulseNet,NYC,human,PNUSAS180154,,missing,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinical,High,"The isolation source is specified as 'human', and the sample is associated with PulseNet and the CDC, which focus on clinical surveillance of human infections. There is no indication of environmental, food, or animal origin.",1,Clinical
SRR31122494,PULSENET,SAMN44458492,Salmonella enterica,PRJNA230403,USA,North America,USA,240741568,144498671,2024-10-25T16:31:00.000Z,2024,,,,,,,,,,,missing,missing,,,,,CDC,,missing,,PNUSAS478585,missing,,PulseNet,CDC,human,PNUSAS478585,,missing,Weltevreden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,missing,,,,,,,,2024,missing,missing,,,USA: missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinical,High,"The isolation source is listed as 'human', and the sample was collected by the CDC as part of the PulseNet project, which focuses on tracking foodborne illnesses in clinical (human) cases. There is no indication of environmental, animal, or food origin.",1,Clinical
SRR28926720,PULSENET,SAMN41249485,Salmonella enterica,PRJNA230403,USA,North America,USA,401694464,176898920,2024-05-07T15:36:00.000Z,2022,,,,,,,,,,,missing,missing,,,,,CDC,,missing,,missing,missing,,missing,missing,human,PNUSAS294479,,missing,Typhimurium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinical,High,"The isolation source is listed as 'human', and the sample was collected by the CDC, indicating it is from a clinical or public health context involving a human patient.",1,Clinical
SRR5955273,EDLB-CDC,SAMN07515419,Salmonella enterica,PRJNA230403,USA,North America,USA,344067061,187691088,2017-08-22T19:29:00.000Z,2017-07,,,,,,,,,,,,Missing,,,,,Missing,,Missing,,,Missing,,PulseNet,TX,human,PNUSAS020738,,Missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinical,High,"The sample source is listed as 'human', and the project is PulseNet, which focuses on clinical surveillance of foodborne pathogens in humans. There is no indication of environmental, animal, or food origin.",1,Clinical
SRR29543718,PULSENET,SAMN42038595,Salmonella enterica,PRJNA230403,USA,North America,USA,262566095,88313794,2024-06-25T16:57:00.000Z,missing,,,,,,,,,,,missing,stool,,,,,IL,,Homo sapiens,,,missing,,PulseNet,IL,human,PNUSAS446271,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinical,High,"The sample was isolated from human stool, with the host listed as Homo sapiens and the source type specified as human. These details indicate a clinical context, likely from a patient or clinical specimen.",1,Clinical
SRR23447329,PULSENET,SAMN33275265,Salmonella enterica,PRJNA230403,USA,North America,USA,368194009,210866159,2023-02-13T17:20:00.000Z,2023-01,,,,,,,,,,,missing,missing,,,,,CDC,,missing,,missing,missing,,PulseNet,TX,human,PNUSAS332438,,missing,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinical,High,"The isolation source is listed as 'human', and the sample was collected by the CDC as part of the PulseNet project, which focuses on tracking foodborne illnesses in clinical (human) cases. There is no indication of environmental, food, or animal origin.",1,Clinical
SRR4294722,EDLB-CDC,SAMN05824117,Salmonella enterica subsp. enterica serovar Newport,PRJNA230403,USA,North America,USA,173573960,111061348,2016-09-26T10:33:00.000Z,2016-08,,,,,,,,,,,missing,stool,,enterica,,,CDC,,missing,,,missing,,PulseNet,DE,human,2016K-0812,,missing,Newport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40-49,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinical,High,"The isolation source is 'stool' and the source type is 'human', indicating the sample was collected from a human patient. The involvement of CDC and the PulseNet project further supports that this is a clinical surveillance sample.",1,Clinical
SRR32597059,PULSENET,SAMN47245287,Salmonella enterica,PRJNA230403,USA,North America,USA,993767075,340375950,2025-03-06T14:14:00.000Z,2024,,,,,,,,,,,,missing,,,,,CDC,,missing,,PNUSAS491034,,,PulseNet,CDC,human,PNUSAS491034,,missing,Typhimurium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,missing,,,,,,,,2024,missing,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinical,High,"The isolation source is listed as 'human', and the sample was collected by the CDC as part of the PulseNet project, which focuses on surveillance of clinical cases of foodborne illness in humans. There is no indication of a non-clinical or environmental source.",1,Clinical
SRR15687627,PULSENET,SAMN21170814,Salmonella enterica,PRJNA230403,USA,North America,USA,450307029,227425081,2021-09-01T14:01:00.000Z,2021-06,,,,,,,,,,,missing,missing,,,,,CDC,,missing,,missing,missing,,PulseNet,GA,human,PNUSAS224779,,missing,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinical,High,"The sample source is listed as 'human', and the project is PulseNet, which focuses on surveillance of human clinical cases of foodborne pathogens. There is no indication of environmental, food, or animal origin, confirming a clinical (patient-derived) sample.",1,Clinical
SRR19868244,PULSENET,SAMN29378047,Salmonella enterica,PRJNA230403,USA,North America,USA,340151163,186031760,2022-06-27T14:53:00.000Z,2022-06,,,,,,,,,,,missing,missing,,,,,missing,,missing,,missing,missing,,PulseNet,AR,human,PNUSAS279134,,missing,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinical,High,"The sample source is listed as 'human', which indicates it was isolated from a clinical specimen. There is no mention of food, environment, or animal sources, and the involvement of PulseNet (a public health surveillance network) further supports a clinical context.",1,Clinical
SRR33306264,PULSENET,SAMN48137841,Salmonella enterica,PRJNA230403,USA,North America,USA,247566924,116069293,2025-04-24T17:33:00.000Z,2025,,,,,,,,,,,,missing,,,,,CDC,,missing,,PNUSAS508984,,,PulseNet,CDC,human,PNUSAS508984,,missing,Newport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,missing,,,,,,,,2025,missing,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinical,High,"The isolation source is listed as 'human', and the sample was collected by the CDC as part of PulseNet, which focuses on surveillance of clinical cases. There is no indication of a non-clinical source.",1,Clinical
SRR7235838,EDLB-CDC,SAMN09283780,Salmonella enterica,PRJNA230403,USA,North America,USA,390023213,252973293,2018-05-30T22:57:00.000Z,2018-04,,,,,,,,,,,missing,missing,,,,,CDC,,missing,,,missing,,PulseNet,CA,human,PNUSAS041804,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinical,High,"The isolation source is listed as 'human', and the sample is associated with the CDC and PulseNet, which typically handle clinical surveillance of human infections. There is no indication of environmental, animal, or food origin.",1,Clinical
SRR18054193,PULSENET,SAMN25999605,Salmonella enterica,PRJNA230403,USA,North America,USA,480486833,250293676,2022-02-21T18:50:00.000Z,2022-01,,,,,,,,,,,missing,missing,,,,,CDC,,missing,,,missing,,PulseNet,IL,human,PNUSAS258731,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinical,High,"The isolation source is listed as 'human', and the sample was collected by the CDC as part of the PulseNet project, which focuses on surveillance of human clinical cases. There is no indication of environmental, food, animal, or laboratory origin.",1,Clinical
SRR21976084,PULSENET,SAMN31370219,Salmonella enterica,PRJNA230403,USA,North America,USA,260696645,152810643,2022-10-19T17:47:00.000Z,2022-09,,,,,,,,,,,missing,missing,,,,,CDC,,missing,,missing,missing,,PulseNet,TX,human,PNUSAS310577,,missing,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinical,High,"The isolation source is listed as 'human', and the sample is associated with PulseNet and the CDC, both of which focus on clinical surveillance of human cases. There is no indication of environmental, food, or animal origin.",1,Clinical
SRR26961926,PULSENET,SAMN38453984,Salmonella enterica,PRJNA230403,USA,North America,USA,200184731,124295800,2023-11-27T22:30:00.000Z,2023,,,,,,,,,,,missing,blood,,,,,HI,,Homo sapiens,,missing,missing,,PulseNet,HI,human,PNUSAS404014,,missing,Paratyphi B var. L(+) tartrate + (Java),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinical,High,"The sample was isolated from blood, the host is Homo sapiens (human), and the source type is explicitly listed as 'human.' These details indicate a clinical specimen from a patient, which fits the Clinical category.",1,Clinical
SRR10381545,PULSENET,SAMN13174108,Salmonella enterica,PRJNA230403,USA,North America,USA,256846405,156695815,2019-10-31T19:58:00.000Z,2019-10,,,,,,,,,,,missing,missing,,,,,CDC,,missing,,,missing,,PulseNet,CAOC,human,PNUSAS113327,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinical,High,"The sample source is listed as 'human', and it was collected by the CDC as part of the PulseNet project, which focuses on tracking foodborne illnesses in clinical (patient) cases. There is no indication of environmental, food, or animal origin.",1,Clinical
SRR10289959,PULSENET,SAMN13037305,Salmonella enterica,PRJNA230403,USA,North America,USA,405872205,238127163,2019-10-15T22:12:00.000Z,2019-09,,,,,,,,,,,missing,missing,,,,,CDC,,missing,,,missing,,PulseNet,HI,human,PNUSAS102936,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinical,High,"The sample source is listed as 'human', and the project is PulseNet, which focuses on surveillance of human clinical cases of foodborne pathogens. There is no indication of environmental, animal, or food origin.",1,Clinical
SRR24326379,PULSENET,SAMN34409091,Salmonella enterica,PRJNA230403,USA,North America,USA,309069255,166575777,2023-04-27T16:52:00.000Z,2023,,,,,,,,,,,missing,missing,,,,,CDC,,missing,,missing,missing,,PulseNet,LA,human,PNUSAS345232,,missing,Concord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinical,High,"The source is specified as 'human', and the sample is associated with PulseNet and the CDC, which focus on clinical surveillance of human infections. There is no indication of environmental, food, animal, or laboratory origin.",1,Clinical
SRR20021323,PULSENET,SAMN29580617,Salmonella enterica,PRJNA230403,USA,North America,USA,238485611,129374635,2022-07-07T15:07:00.000Z,2022-06,,,,,,,,,,,missing,missing,,,,,CDC,,missing,,missing,missing,,PulseNet,WA,human,PNUSAS281697,,missing,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinical,High,"The source is listed as 'human', and the sample is associated with PulseNet and the CDC, which focus on public health surveillance of clinical cases. There is no indication of environmental, food, or animal origin.",1,Clinical
SRR9674951,PULSENET,SAMN12262003,Salmonella enterica,PRJNA230403,USA,North America,USA,222387194,112700483,2019-07-12T11:17:00.000Z,2014-08,,,,,,,,,,,MDA14116143,human,,,,,Maryland Department of Health,,missing,,,missing,,PulseNet,MD,human,PNUSAS069466,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GenomeTrakr,GenomeTrakr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinical,High,"The isolation source is listed as 'human', and the sample was collected by the Maryland Department of Health, indicating it is from a clinical or public health context involving a human patient.",1,Clinical
SRR12521548,PULSENET,SAMN15908323,Salmonella enterica,PRJNA230403,USA,North America,USA,233631998,126779247,2020-08-26T12:38:00.000Z,2020-07,,,,,,,,,,,missing,missing,,,,,CDC,,missing,,,missing,,PulseNet,MS,human,PNUSAS163316,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinical,High,"The isolation source is specified as 'human', and the sample is associated with PulseNet and the CDC, both of which focus on clinical surveillance of human infections. There is no indication of environmental, food, or animal origin.",1,Clinical
SRR33147457,PULSENET,SAMN47995276,Salmonella enterica,PRJNA230403,USA,North America,USA,431815439,154949272,2025-04-16T02:54:00.000Z,2025,,,,,,,,,,,,missing,,,,,CDC,,missing,,PNUSAS507294,,,FL-VL00496-250409,CDC,human,PNUSAS507294,,missing,"IV 11:z4,z23:-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,missing,,,,,,,,2025,missing,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinical,High,"The isolation source is listed as 'human', and the sample was collected by the CDC, indicating it is from a clinical or public health context involving a human patient.",1,Clinical
SRR11616119,PULSENET,SAMN14739208,Salmonella enterica,PRJNA230403,USA,North America,USA,200394431,102199432,2020-04-27T14:46:00.000Z,2020-03,,,,,,,,,,,Missing,missing,,,,,CDC,,missing,,,missing,,PulseNet,WI,human,PNUSAS142774,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinical,High,"The isolation source is listed as 'human', and the sample is associated with PulseNet and the CDC, which focus on public health surveillance of clinical cases. There is no indication of a non-clinical source.",1,Clinical
SRR15007618,EDLB-CDC,SAMN19974631,Salmonella enterica,PRJNA230403,USA,North America,USA,261108601,114703533,2021-06-30T17:28:00.000Z,2021-05,,,,,,,,,,,missing,missing,,,,,CDC,,missing,,missing,missing,,PulseNet,FL,human,PNUSAS209681,,missing,Oranienburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinical,High,"The sample source is listed as 'human', and the project is PulseNet, which focuses on surveillance of foodborne pathogens in clinical human cases. There is no indication of environmental, animal, or food origin.",1,Clinical
SRR13700744,PULSENET,SAMN17901372,Salmonella enterica,PRJNA230403,USA,North America,USA,172550336,100855069,2021-02-12T17:14:00.000Z,2019-11,,,,,,,,,,,missing,missing,,,,,CDC,,missing,,missing,missing,,PulseNet,IA,human,PNUSAS117975,,missing,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinical,High,"The isolation source is listed as 'human', and the sample is associated with PulseNet and the CDC, which typically handle clinical surveillance of human infections. There is no indication of environmental, food, animal, or laboratory origin.",1,Clinical
SRR21897160,PULSENET,SAMN31276045,Salmonella enterica,PRJNA230403,USA,North America,USA,444115442,152428805,2022-10-13T17:23:00.000Z,2022-09,,,,,,,,,,,missing,missing,,,,,CDC,,missing,,missing,missing,,PulseNet,OH,human,PNUSAS308778,,missing,Newport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinical,High,"The sample source is listed as 'human', and the project is PulseNet, which focuses on surveillance of foodborne pathogens in clinical (human) cases. There is no indication of environmental, animal, or food origin.",1,Clinical
SRR15404621,PULSENET,SAMN20695681,Salmonella enterica,PRJNA230403,USA,North America,USA,357271589,207213138,2021-08-10T14:00:00.000Z,2021-07,,,,,,,,,,,missing,missing,,,,,CDC,,missing,,missing,missing,,PulseNet,IN,human,PNUSAS215921,,missing,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinical,High,"The sample source is listed as 'human', and it was collected by the CDC as part of the PulseNet project, which focuses on tracking clinical cases of foodborne illness in humans. There is no indication of environmental, animal, or food origin.",1,Clinical
SRR10294305,PULSENET,SAMN13041668,Salmonella enterica,PRJNA230403,USA,North America,USA,177478516,103721166,2019-10-16T15:25:00.000Z,2019-09,,,,,,,,,,,missing,missing,,,,,CDC,,missing,,,missing,,PulseNet,FL,human,PNUSAS109156,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinical,High,"The isolation source is listed as 'human', and the sample is associated with PulseNet and the CDC, which focus on public health surveillance of clinical cases. There is no indication of environmental, food, animal, or laboratory origin.",1,Clinical
